Type Of Traveller,Seat Type,Route,Date Flown,Seat Comfort,Cabin Staff Service,Food & Beverages,Inflight Entertainment,Ground Service,Value For Money,Recommended,Verified,Word_Count,Review_Length,Average_Rating,Recommendation_Status,Verification_Status,Rating_Level,Date_Flown_Clean,Year,Month,Month_Name
Business,Economy Class,Denver to London,December 2022,1.0,1.0,1.0,3.0,1.0,1.0,no,yes,261,1373,1.3333333333333333,Not Recommended,Verified,Low Rating,2022-12-01,2022,12,December
Solo Leisure,Business Class,London to Marrakech,June 2022,3.0,5.0,5.0,,4.0,3.0,yes,yes,87,473,4.0,Recommended,Verified,High Rating,2022-06-01,2022,6,June
Solo Leisure,Economy Class,San Francisco to London,November 2022,2.0,1.0,2.0,2.0,3.0,2.0,no,yes,141,784,2.0,Not Recommended,Verified,Low Rating,2022-11-01,2022,11,November
Solo Leisure,Business Class,London to Lisbon,November 2022,3.0,4.0,4.0,,3.0,3.0,yes,yes,78,459,3.4,Recommended,Verified,Medium Rating,2022-11-01,2022,11,November
Solo Leisure,Economy Class,Montreal to Edinburgh via London Heathrow,January 2022,4.0,4.0,4.0,4.0,4.0,4.0,yes,yes,113,641,4.0,Recommended,Verified,High Rating,2022-01-01,2022,1,January
Solo Leisure,Economy Class,Miami to Budapest via London,November 2022,2.0,3.0,3.0,4.0,1.0,1.0,no,yes,55,317,2.3333333333333335,Not Recommended,Verified,Low Rating,2022-11-01,2022,11,November
Solo Leisure,Premium Economy,Amman Jordan to London UK (Heathrow),November 2022,3.0,2.0,1.0,,4.0,2.0,no,yes,102,518,2.4,Not Recommended,Verified,Low Rating,2022-11-01,2022,11,November
Solo Leisure,Economy Class,Dusseldorf to London via Los Angeles,August 2022,1.0,1.0,1.0,1.0,1.0,1.0,no,yes,239,1267,1.0,Not Recommended,Verified,Low Rating,2022-08-01,2022,8,August
Solo Leisure,Business Class,London to Cape Town,November 2022,4.0,2.0,1.0,4.0,1.0,1.0,no,yes,257,1387,2.1666666666666665,Not Recommended,Verified,Low Rating,2022-11-01,2022,11,November
Solo Leisure,Economy Class,Milan to Dallas via London ,November 2022,2.0,5.0,2.0,2.0,2.0,1.0,no,no,52,291,2.3333333333333335,Not Recommended,Not Verified,Low Rating,2022-11-01,2022,11,November
Solo Leisure,Economy Class,Baltimore to London Heathrow,November 2022,1.0,3.0,3.0,1.0,2.0,3.0,yes,yes,178,937,2.1666666666666665,Recommended,Verified,Low Rating,2022-11-01,2022,11,November
Couple Leisure,Business Class,Dubai to Belfast via London,October 2022,3.0,3.0,3.0,2.0,1.0,1.0,no,yes,74,419,2.1666666666666665,Not Recommended,Verified,Low Rating,2022-10-01,2022,10,October
Couple Leisure,Economy Class,Dallas to Bologna via London,July 2022,5.0,5.0,,,1.0,1.0,no,yes,95,539,3.0,Not Recommended,Verified,Medium Rating,2022-07-01,2022,7,July
Solo Leisure,Economy Class,San Francisco to London,October 2022,,,,,1.0,1.0,no,yes,180,993,1.0,Not Recommended,Verified,Low Rating,2022-10-01,2022,10,October
Solo Leisure,Economy Class,London Heathrow to Gibraltar,October 2022,2.0,1.0,1.0,,3.0,3.0,no,yes,98,558,2.0,Not Recommended,Verified,Low Rating,2022-10-01,2022,10,October
Solo Leisure,Business Class,London Heathrow to Nairobi,October 2022,3.0,1.0,1.0,2.0,1.0,1.0,no,no,195,1047,1.5,Not Recommended,Not Verified,Low Rating,2022-10-01,2022,10,October
Solo Leisure,Business Class,London to Los Angeles,October 2022,5.0,4.0,5.0,5.0,3.0,5.0,yes,yes,103,604,4.5,Recommended,Verified,High Rating,2022-10-01,2022,10,October
Solo Leisure,Business Class,Copenhagen to Heathrow,October 2022,3.0,5.0,5.0,,4.0,5.0,yes,yes,54,331,4.4,Recommended,Verified,High Rating,2022-10-01,2022,10,October
Family Leisure,Economy Class,Larnaca to London,October 2022,1.0,2.0,1.0,1.0,2.0,2.0,no,yes,303,1657,1.5,Not Recommended,Verified,Low Rating,2022-10-01,2022,10,October
Couple Leisure,Business Class,Atlanta to London,October 2022,5.0,4.0,4.0,5.0,5.0,4.0,yes,yes,66,372,4.5,Recommended,Verified,High Rating,2022-10-01,2022,10,October
Solo Leisure,Business Class,Madrid to San Francisco via London,September 2022,3.0,1.0,1.0,4.0,3.0,1.0,no,yes,133,743,2.1666666666666665,Not Recommended,Verified,Low Rating,2022-09-01,2022,9,September
Solo Leisure,Economy Class,London to Washington,October 2022,3.0,5.0,5.0,3.0,2.0,5.0,yes,yes,188,1048,3.8333333333333335,Recommended,Verified,Medium Rating,2022-10-01,2022,10,October
Couple Leisure,Economy Class,London to San Francisco,October 2022,1.0,1.0,3.0,3.0,1.0,1.0,no,yes,448,2317,1.6666666666666667,Not Recommended,Verified,Low Rating,2022-10-01,2022,10,October
Solo Leisure,Economy Class,London to Delhi,October 2022,2.0,2.0,1.0,3.0,4.0,1.0,no,yes,75,403,2.1666666666666665,Not Recommended,Verified,Low Rating,2022-10-01,2022,10,October
Couple Leisure,Economy Class,London to Los Angeles,October 2022,3.0,4.0,3.0,4.0,4.0,4.0,yes,no,144,771,3.6666666666666665,Recommended,Not Verified,Medium Rating,2022-10-01,2022,10,October
Couple Leisure,Business Class,Miami to London Heathrow,October 2022,5.0,5.0,3.0,2.0,4.0,3.0,yes,yes,167,892,3.6666666666666665,Recommended,Verified,Medium Rating,2022-10-01,2022,10,October
Solo Leisure,Business Class,Dubai to London,October 2022,4.0,4.0,4.0,2.0,4.0,3.0,yes,yes,57,333,3.5,Recommended,Verified,Medium Rating,2022-10-01,2022,10,October
Couple Leisure,Economy Class,London to Cairo,October 2022,1.0,1.0,1.0,,4.0,1.0,no,no,89,451,1.6,Not Recommended,Not Verified,Low Rating,2022-10-01,2022,10,October
Solo Leisure,Business Class,Orlando to London Gatwick,October 2022,5.0,5.0,5.0,5.0,5.0,4.0,yes,yes,37,220,4.833333333333333,Recommended,Verified,High Rating,2022-10-01,2022,10,October
Business,Economy Class,London to Cairo,October 2022,2.0,4.0,1.0,,3.0,1.0,no,yes,37,212,2.2,Not Recommended,Verified,Low Rating,2022-10-01,2022,10,October
Couple Leisure,Economy Class,Dallas to London,September 2022,2.0,4.0,2.0,4.0,4.0,3.0,yes,no,213,1141,3.1666666666666665,Recommended,Not Verified,Medium Rating,2022-09-01,2022,9,September
Couple Leisure,Business Class,Jersey to London Heathrow,September 2022,4.0,4.0,4.0,,3.0,4.0,yes,yes,87,493,3.8,Recommended,Verified,Medium Rating,2022-09-01,2022,9,September
Couple Leisure,Business Class,London Heathrow to Jersey,September 2022,4.0,5.0,4.0,,3.0,4.0,yes,yes,111,602,4.0,Recommended,Verified,High Rating,2022-09-01,2022,9,September
Solo Leisure,Business Class,Istanbul to London Heathrow,September 2022,1.0,3.0,2.0,1.0,3.0,2.0,no,yes,249,1325,2.0,Not Recommended,Verified,Low Rating,2022-09-01,2022,9,September
Solo Leisure,Business Class,London Heathrow to New York JFK,September 2022,5.0,4.0,4.0,4.0,5.0,5.0,yes,yes,115,632,4.5,Recommended,Verified,High Rating,2022-09-01,2022,9,September
Business,Economy Class,Gothenburg to Jersey via London,June 2022,2.0,2.0,,,1.0,1.0,no,yes,260,1390,1.5,Not Recommended,Verified,Low Rating,2022-06-01,2022,6,June
Solo Leisure,Premium Economy,Heathrow to Mexico City,September 2022,5.0,5.0,5.0,5.0,5.0,5.0,yes,no,51,285,5.0,Recommended,Not Verified,High Rating,2022-09-01,2022,9,September
Solo Leisure,Economy Class,London to Tampa,September 2022,5.0,5.0,5.0,5.0,5.0,5.0,yes,yes,145,774,5.0,Recommended,Verified,High Rating,2022-09-01,2022,9,September
Solo Leisure,Economy Class,Sydney to London via Singapore,September 2022,1.0,3.0,2.0,5.0,4.0,2.0,yes,no,37,218,2.8333333333333335,Recommended,Not Verified,Low Rating,2022-09-01,2022,9,September
Couple Leisure,Economy Class,London to Lisbon,September 2022,4.0,5.0,1.0,,3.0,3.0,yes,yes,24,151,3.2,Recommended,Verified,Medium Rating,2022-09-01,2022,9,September
Business,Business Class,London to Istanbul,September 2022,1.0,1.0,1.0,,1.0,1.0,no,yes,52,338,1.0,Not Recommended,Verified,Low Rating,2022-09-01,2022,9,September
Couple Leisure,Economy Class,London to Manchester,September 2022,4.0,1.0,2.0,1.0,1.0,1.0,no,no,40,216,1.6666666666666667,Not Recommended,Not Verified,Low Rating,2022-09-01,2022,9,September
Family Leisure,Economy Class,London to Rome,August 2022,4.0,4.0,3.0,,1.0,2.0,no,no,60,337,2.8,Not Recommended,Not Verified,Low Rating,2022-08-01,2022,8,August
Couple Leisure,Business Class,London Gatwick to Malaga,September 2022,3.0,5.0,5.0,1.0,4.0,3.0,yes,yes,129,706,3.5,Recommended,Verified,Medium Rating,2022-09-01,2022,9,September
Business,Economy Class,Heathrow to Tenerife,November 2021,,,,,,1.0,no,no,161,786,1.0,Not Recommended,Not Verified,Low Rating,2021-11-01,2021,11,November
Couple Leisure,Economy Class,Manchester to Seattle via London,August 2022,3.0,2.0,1.0,2.0,4.0,3.0,no,yes,89,469,2.5,Not Recommended,Verified,Low Rating,2022-08-01,2022,8,August
Couple Leisure,Premium Economy,San Francisco to London,April 2022,2.0,1.0,2.0,3.0,1.0,1.0,no,yes,202,1065,1.6666666666666667,Not Recommended,Verified,Low Rating,2022-04-01,2022,4,April
Couple Leisure,Economy Class,Berlin to London City,August 2022,3.0,5.0,4.0,,2.0,4.0,yes,no,95,497,3.6,Recommended,Not Verified,Medium Rating,2022-08-01,2022,8,August
Couple Leisure,Economy Class,Tel Aviv to London,August 2022,5.0,5.0,5.0,5.0,3.0,4.0,yes,yes,39,243,4.5,Recommended,Verified,High Rating,2022-08-01,2022,8,August
Solo Leisure,Business Class,London to Manila via Singapore,June 2022,1.0,1.0,1.0,1.0,1.0,1.0,no,yes,150,838,1.0,Not Recommended,Verified,Low Rating,2022-06-01,2022,6,June
Solo Leisure,Economy Class,London to Barcelona,June 2022,1.0,2.0,1.0,,1.0,1.0,no,yes,206,1111,1.2,Not Recommended,Verified,Low Rating,2022-06-01,2022,6,June
Business,Business Class,Los Angeles to Thessaloniki via London,June 2022,2.0,2.0,1.0,,1.0,1.0,no,yes,63,362,1.4,Not Recommended,Verified,Low Rating,2022-06-01,2022,6,June
Couple Leisure,Economy Class,Boston to Dublin via London,August 2022,5.0,5.0,5.0,5.0,5.0,5.0,yes,yes,81,451,5.0,Recommended,Verified,High Rating,2022-08-01,2022,8,August
Couple Leisure,Economy Class,London to New York,July 2022,5.0,5.0,5.0,5.0,5.0,3.0,yes,no,115,583,4.666666666666667,Recommended,Not Verified,High Rating,2022-07-01,2022,7,July
Family Leisure,Economy Class,Cape Town to London Heathrow,August 2022,2.0,1.0,1.0,3.0,4.0,3.0,no,no,189,1004,2.3333333333333335,Not Recommended,Not Verified,Low Rating,2022-08-01,2022,8,August
Couple Leisure,Premium Economy,Dallas Ft Worth to London,May 2022,3.0,5.0,5.0,,4.0,4.0,yes,no,73,429,4.2,Recommended,Not Verified,High Rating,2022-05-01,2022,5,May
Family Leisure,Economy Class,London to Amsterdam,July 2022,1.0,1.0,1.0,,1.0,1.0,no,yes,173,961,1.0,Not Recommended,Verified,Low Rating,2022-07-01,2022,7,July
Solo Leisure,Business Class,London to Marrakesh,June 2022,1.0,1.0,1.0,1.0,1.0,1.0,no,yes,69,385,1.0,Not Recommended,Verified,Low Rating,2022-06-01,2022,6,June
Solo Leisure,Economy Class,Accra to London,November 2021,,,,,1.0,1.0,no,yes,72,404,1.0,Not Recommended,Verified,Low Rating,2021-11-01,2021,11,November
Solo Leisure,Economy Class,Nairobi to New York via London,July 2022,3.0,5.0,3.0,,3.0,1.0,no,yes,231,1273,3.0,Not Recommended,Verified,Medium Rating,2022-07-01,2022,7,July
